symbol,company,iSIN,qty,averageCostPrice,currentMarketPrice,changeoverprevclosePct,valueAtCost,valueAtMarketPrice,daysGain,daysGainPct,realizedProfitNLoss,unrealizedProfitNLoss,unrealizedProfitNLossPct
ABB,ABB INDIA LIMITED,INE117A01022,50,758.28,950.75,-3.54,37914,47537.5,1742.5,2728.12,0,9623.5,25.38
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,50,141.32,279.55,-3.02,7066,13977.5,435,3213.22,45341.87,6911.5,97.81
APOTYR,APOLLO TYRES LTD,INE438A01022,10,90.86,123.55,-7.49,908.6,1235.5,100,1235.5,0,326.9,35.98
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,50,330.91,808.9,-6.91,16545.5,40445,3000,1348.17,1675.14,23899.5,144.45
AXIBAN,AXIS BANK LIMITED,INE238A01034,370,338.22,496.75,-2.45,125141.4,183797.5,4606.5,3989.96,215.61,58656.1,46.87
BANBAR,BANK OF BARODA,INE028A01039,1875,46.95,48.95,-5.14,88031.25,91781.25,4968.75,1847.17,0,3750,4.26
BEML,BEML LIMITED,INE258A01016,2,641.64,668,-6.11,1283.28,1336,87,1535.63,31160.25,52.72,4.11
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,1000,25.22,38.55,-7.44,25220,38550,3100,1243.55,0,13330,52.85
BSE,BSE LIMITED,INE118H01025,125,443.99,498.25,-4.3,55498.75,62281.25,2800,2224.33,0,6782.5,12.22
CANBAN,CANARA BANK,INE476A01014,410,97.74,107.5,-6.36,40073.4,44075,2993,1472.6,4443.01,4001.6,9.99
CARE,CARE RATINGS LIMITED,INE752H01013,100,292.57,397.35,-3.78,29257,39735,1560,2547.12,0,10478,35.81
CAREVE,GRAPHITE INDIA LIMITED,INE371A01025,450,186.79,189.55,-6.51,84055.5,85297.5,5940,1435.98,0,1242,1.48
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,410,126.51,232.2,-7.03,51869.1,95202,7195.5,1323.08,0,43332.9,83.54
COALIN,COAL INDIA LIMITED,INE522F01014,275,179.77,134.35,-3.38,49436.75,66946.25,1292.5,2858.51,27173.1,-12490.5,-25.27
COFDAY,COFFEE DAY ENTERPRISES LTD,INE335K01011,500,46.92,26.35,0,23460,13175,0,0,0,-10285,-43.84
CUMIND,CUMMINS INDIA LTD,INE298A01020,2,387.87,462.25,-2.01,775.74,924.5,19,4865.79,0,148.76,19.18
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,75,202.78,361.05,-5.16,15208.5,27078.75,1473.75,1837.4,0,11870.25,78.05
DEWHOU,DEWAN HOUSING FINANCE CORPN L,INE202B01012,1250,74.54,14.15,-3.74,93175,17687.5,687.5,2572.73,0,-75487.5,-81.02
