symbol,company,iSIN,qty,averageCostPrice,currentMarketPrice,changeoverprevclosePct,valueAtCost,valueAtMarketPrice,daysGain,daysGainPct,realizedProfitNLoss,unrealizedProfitNLoss,unrealizedProfitNLossPct
ALSIND,GE POWER INDIA LIMITED,INE878A01011,150,310.18,445.00,- 1.52,46527.00,66750.00,0.00,20223.00,43.47,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,16800,213.40,200.08,- 0.81,3585120.00,3361344.00,60353.74,-223776.00,(6.24),
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,4150,110.58,2.33, 0.00,458907.00,9669.50,0.00,-449237.50,(97.89),
FUTRE,FUTURE RETAIL LIMITED,INE752P01024,17450,117.69,2.28, 0.00,2053690.50,39786.00,0.00,-2013904.50,(98.06),
FUTRET,FUTURE ENTERPRISES LIMITED,INE623B01027,10000,10.38,0.80, 0.00,103800.00,8000.00,0.00,-95800.00,(92.29),
INDHO,SAMMAAN CAPITAL LIMITED,INE148I01020,1150,179.52,167.85,- 1.55,206448.00,193027.50,0.00,-13420.50,(6.50),
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,1300,526.93,292.55,- 2.48,685009.00,380315.00,0.00,-304694.00,(44.48),
RELCOM,RELIANCE COMMUNICATIONS LIMITE,INE330H01018,11000,3.75,2.32,- 5.31,41250.00,25520.00,0.00,-15730.00,(38.13),
RELDEF,RELIANCE NAVAL ENGINEERING LTD,INE542F01012,8500,11.26,2.27, 0.00,95710.00,19295.00,0.00,-76415.00,(79.84),
RELINF,RELIANCE INFRASTRUCTURE LTD,INE036A01016,71295,126.04,207.66,- 1.94,8986021.80,14805119.70,4930078.02,5819097.90,64.76,
STAHEA,STAR HEALTH ALLIED INS CO LTD,INE575P01011,160,900.00,608.00,+ 0.99,144000.00,97280.00,0.00,-46720.00,(32.44),
VEDFAS,VEDANT FASHIONS LIMITED,INE825V01034,68,866.00,1178.20,+ 0.34,58888.00,80117.60,0.00,21229.60,36.05,
YESBAN,YES BANK LIMITED,INE528G01035,6380,34.81,24.17,- 0.90,222087.80,154204.60,1047.21,-67883.20,(30.57),
